Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Vehicle Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13-15,16-20,21-25,26-30,31-60,60+,Total Vehicles,Average Age of Fleet (in Years),Average Lifetime Miles per Vehicle
The Township of East Brunswick,East Brunswick,NJ,22978,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.00,0
The Township of East Brunswick,East Brunswick,NJ,22978,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,11.00,0
The City of Perth Amboy Department of Human Services,Perth Amboy,NJ,22979,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
The Borough of Keyport,,NJ,22980,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.00,0
County of Howard,Ellicott City,MD,30048,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Van,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.00,"56,897"
County of Howard,Ellicott City,MD,30048,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,0,0,Trucks and other Rubber Tire Vehicles (Service),0,0,1,2,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,12,,
County of Howard,Ellicott City,MD,30048,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,8,0,8,6,0,0,0,0,0,0,0,0,0,0,22,6.55,"301,018"
County of Howard,Ellicott City,MD,30048,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,2,6,7,3,0,0,3,0,3,0,3,6,0,0,0,0,33,9.21,"351,616"
County of Howard,Ellicott City,MD,30048,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,0,0,Automobiles (Service),0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,,
County of Howard,Ellicott City,MD,30048,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Automobile,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,7,6.14,"371,982"
Wood County Senior Citizens Association,Parkersburg,WV,30991,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
Wirt County Committee on Aging & Family Services,,WV,30993,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Summers County Council on Aging,Hinton,WV,30996,Corporation,Reduced Asset Reporter,,,,0,Automobile,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
Senior Life Services of Morgan County,Berkeley Springs,WV,30997,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Ritchie County Integrated Family Services,Harrisville,WV,30998,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Raleigh County Community Action Association,Beckley,WV,30999,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Raleigh County Community Action Association,Beckley,WV,30999,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Raleigh County Community Action Association,Beckley,WV,30999,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.00,0
Putnam County Aging Program,Saint Albans,WV,31000,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.33,0
Pocahontas County Senior Citizens,Marlinton,WV,31001,Corporation,Reduced Asset Reporter,,,,0,Automobile,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.50,0
Neighbor Network/Pleasants County Senior Services,Saint Marys,WV,31002,Agency on Aging,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.00,0
Pendleton Senior & Family Services,Franklin,WV,31003,Corporation,Reduced Asset Reporter,,,,0,Automobile,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
"McDowell County Commission on Aging, Inc.",Welch,WV,31005,Corporation,Reduced Asset Reporter,,,,0,Van,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
"McDowell County Commission on Aging, Inc.",Welch,WV,31005,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.50,0
Marion County Senior Citizens,Fairmont,WV,31006,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Marion County Senior Citizens,Fairmont,WV,31006,Corporation,Reduced Asset Reporter,,,,0,Automobile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.00,0
"Logan-Mingo Area Mental Health, Inc.",Logan,WV,31007,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
"Logan-Mingo Area Mental Health, Inc.",Logan,WV,31007,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
Lewis County Senior Citizens Center,Weston,WV,31008,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
Jefferson County Council on Aging,Ranson,WV,31010,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Harrison County Senior Citizens Center,Clarksburg,WV,31011,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.00,0
Friends of Hansford Center,Saint Albans,WV,31014,Agency on Aging,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Family Service Upper Ohio Valley,Wheeling,WV,31015,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.00,0
Council on Aging (Wyoming County),Mullens,WV,31016,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Council on Aging (Wyoming County),Mullens,WV,31016,Corporation,Reduced Asset Reporter,,,,0,Automobile,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
Council of Senior Citizens of Gilmer County,Glenville,WV,31017,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Council of Senior Citizens of Gilmer County,Glenville,WV,31017,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.00,0
Berkeley Senior Services,Martinsburg,WV,31018,Corporation,Reduced Asset Reporter,,,,0,Sports Utility Vehicle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0
Berkeley Senior Services,Martinsburg,WV,31018,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Berkeley Senior Services,Martinsburg,WV,31018,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
Community Action of South Eastern WV (CASE),Bluefield,WV,31019,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
"Christian Help, Inc. of Mingo County",Kermit,WV,31021,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
"CHANGE, Inc.",Weirton,WV,31022,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
"Central WV Community Action, Inc.",Clarksburg,WV,31023,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.00,0
Braxton County Senior Citizens Center,Sutton,WV,31024,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.00,0
"Bucks County Transport, Inc.",Holicong,PA,31030,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,10,10,5,6,8,0,0,0,0,0,0,0,0,0,0,0,0,39,3.79,0
"Bucks County Transport, Inc.",Holicong,PA,31030,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11.00,0
"Bucks County Transport, Inc.",Holicong,PA,31030,Corporation,Reduced Asset Reporter,,,,0,Cutaway,16,0,7,0,8,22,20,0,0,5,4,0,0,0,0,0,0,0,0,82,4.40,0
"Community Transit of Delaware County, Inc.",Eddystone,PA,31033,Corporation,Reduced Asset Reporter,,,0,0,Trucks and other Rubber Tire Vehicles (Service),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"Community Transit of Delaware County, Inc.",Eddystone,PA,31033,Corporation,Reduced Asset Reporter,,,,0,Sports Utility Vehicle,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
"Community Transit of Delaware County, Inc.",Eddystone,PA,31033,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.00,0
"Community Transit of Delaware County, Inc.",Eddystone,PA,31033,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,11,0,3,6,2,0,3,0,0,0,0,1,0,0,0,0,26,5.42,0
"Community Transit of Delaware County, Inc.",Eddystone,PA,31033,Corporation,Reduced Asset Reporter,,,,0,Automobile,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.00,0
"Suburban Transit Network, Inc.",Blue Bell,PA,31037,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,5,1,1,2,0,2,4,3,2,0,0,0,0,0,20,9.10,0
"Suburban Transit Network, Inc.",Blue Bell,PA,31037,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,3,0,9,4,6,7,8,2,3,2,2,6,3,0,0,0,0,0,55,6.78,0
"Suburban Transit Network, Inc.",Blue Bell,PA,31037,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,14,6,20,18,8,27,17,4,6,5,2,2,1,0,0,0,0,0,130,5.18,0
"Suburban Transit Network, Inc.",Blue Bell,PA,31037,Corporation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,8.50,0
"Suburban Transit Network, Inc.",Blue Bell,PA,31037,Corporation,Reduced Asset Reporter,,,,0,Automobile,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6.00,0
Rover Community Transportation,Downingtown,PA,31043,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.00,0
Rover Community Transportation,Downingtown,PA,31043,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,9,14,0,18,14,0,1,0,0,0,0,0,0,0,0,0,0,0,56,3.32,0
"Commission On Aging Family Services Inc., The",Petersburg,WV,31046,Agency on Aging,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Raleigh County Commission on Aging,Beckley,WV,31047,Agency on Aging,Reduced Asset Reporter,,,,0,Cutaway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
"Greenbrier Co. Committee on Aging, Inc.",Rupert,WV,31048,Agency on Aging,Reduced Asset Reporter,,,,0,Van,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,0
Hardy County Committee on Aging Inc,Moorefield,WV,31049,Agency on Aging,Reduced Asset Reporter,,,,0,Cutaway,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
Council of Senior Tyler Countians Inc,Middlebourne,WV,31050,Agency on Aging,Reduced Asset Reporter,,,,0,Minivan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0
Municipality of Barranquitas,Barranquitas,PR,41005,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
Municipality of Aguas Buenas,Aguas Buenas,PR,44950,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.00,0
Municipality of Aibonito,Aibonito,PR,44951,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6.00,0
Municipality of Arecibo,Arecibo,PR,44952,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.00,0
Municipality of Ceiba,Ceiba,PR,44954,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
Municipality of Florida,Florida,PR,44955,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.00,0
Municipality of Guanica,Guanica,PR,44956,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.00,0
Municipality of Guayama,Guayama,PR,44957,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.00,0
Municipality of Isabela,Isabela,PR,44959,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,7.00,0
Municipality of Maunabo,Maunabo,PR,44963,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.00,0
Municipality of Naranjito,Naranjito,PR,44964,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,10.00,0
Municipality of Quebradillas,Quebradillas,PR,44965,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10.00,0
Municipality of Rio Grande,Rio Grande,PR,44966,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.00,0
Municipality of Salinas,Salinas,PR,44968,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
Municipality of San German,San German,PR,44969,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
Municipality of Santa Isabel,Santa Isabel,PR,44970,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10.00,0
Municipality of Toa Alta,Toa Alta,PR,44971,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
Municipality of Trujillo Alto,Trujillo Alto,PR,44972,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
Western Kentucky University - Topper Transit,Bowling Green,KY,44973,University,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.00,0
Western Kentucky University - Topper Transit,Bowling Green,KY,44973,University,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9.00,0
Volunteers of America Mid-State Inc.,Louisville,KY,44974,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,11.00,0
Volunteers of America Mid-State Inc.,Louisville,KY,44974,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4,8.25,0
Volunteers of America Mid-State Inc.,Louisville,KY,44974,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.00,0
"BAWAC, Inc.",Florence,KY,44975,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,4,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,22,4.09,0
"BAWAC, Inc.",Florence,KY,44975,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,4,7,3,0,0,1,0,0,0,0,0,0,0,0,0,15,5.20,0
"BAWAC, Inc.",Florence,KY,44975,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4.00,0
County of Sauk,Baraboo,WI,50449,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.00,0
County of Sauk,Baraboo,WI,50449,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11.00,0
"ABCD, Inc.",Canton,OH,55329,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4.00,0
"ABCD, Inc.",Canton,OH,55329,Corporation,Reduced Asset Reporter,,,0,0,Automobiles (Service),0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,5,,
County of Adams,Friendship,WI,55330,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8.00,0
County of Adams,Friendship,WI,55330,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.00,0
County of Barron,Barron,WI,55331,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,4.57,0
County of Barron,Barron,WI,55331,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.00,0
American Eagle Bethel Center,Aprin,WI,55332,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
"Aptiv, Inc.",La Crosse,WI,55333,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.25,0
"Aptiv, Inc.",La Crosse,WI,55333,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,10.00,0
"BRIDGE for Community Life, Inc.",Hudson,WI,55335,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
"BRIDGE for Community Life, Inc.",Hudson,WI,55335,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.20,0
"BRIDGE for Community Life, Inc.",Hudson,WI,55335,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3.67,0
"Black River Industries, Inc.",Medford,WI,55336,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,2,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,11,5.45,0
"Black River Industries, Inc.",Medford,WI,55336,Corporation,Reduced Asset Reporter,,,,0,Bus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
"Challenge Center, Inc.",Superior,WI,55337,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4,10.25,0
"Challenge Center, Inc.",Superior,WI,55337,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,2,0,1,1,0,0,1,0,1,0,0,4,3,0,0,0,0,0,13,9.00,0
"Community Care, Inc.",Brookfield,WI,55338,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,7.75,0
"Community Care, Inc.",Brookfield,WI,55338,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,1,0,0,5,3,3,0,0,0,0,0,0,0,0,12,8.50,0
County of Buffalo,Alma,WI,55339,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21.00,0
County of Buffalo,Alma,WI,55339,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.00,0
County of Buffalo,Alma,WI,55339,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,4,14.75,0
County of Dodge,Juneau,WI,55340,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,6,7.00,0
County of Dodge,Juneau,WI,55340,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7.00,0
County of Outagamie,Appleton,WI,55342,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,5,16.00,0
County of Outagamie,Appleton,WI,55342,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,5,6,3,3,9,0,0,0,0,0,0,0,0,0,26,7.19,0
County of Outagamie,Appleton,WI,55342,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,3,0,0,0,0,5,2,0,0,5,0,0,0,0,0,15,9.93,0
County of Pepin,Durand,WI,55343,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,7.33,0
County of Pepin,Durand,WI,55343,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.00,0
County of Marquette,Montello,WI,55344,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,5.75,0
County of Marquette,Montello,WI,55344,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
County of Rock,Janesville,WI,55345,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,1,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,7,5.29,0
County of Trempealeau,Whitehall,WI,55346,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6.00,0
County of Trempealeau,Whitehall,WI,55346,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Cutaway,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,8.00,0
Curative Connections,Green Bay,WI,55347,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8.00,0
"Disabilities Services, Inc.",Berlin,WI,55348,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.67,0
"Disabilities Services, Inc.",Berlin,WI,55348,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,6.67,0
"Diverse Options, Inc.",Ripon,WI,55349,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,3,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,9,4.33,0
"East Shore Industries, Inc.",Algoma,WI,55350,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5.50,0
"East Shore Industries, Inc.",Algoma,WI,55350,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.25,0
"RISE, Inc.",Stillwater,MN,55351,Corporation,Reduced Asset Reporter,,,,0,Van,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.00,0
"RISE, Inc.",Stillwater,MN,55351,Corporation,Reduced Asset Reporter,,,,0,Minivan,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,8.00,0
"RISE, Inc.",Stillwater,MN,55351,Corporation,Reduced Asset Reporter,,,,0,Cutaway,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,6.00,0
